setup,unite_detection,horodatage_entree,horodatage_sortie,sens,unite_ob,ob_haut,ob_bas,ob_ouverture_bougie1,niveau_prix,niveau_cote,niveau_unite,niveau_formation,sweep_extreme,unite_fibo,reference_prix,unite_fvg,fvg_haut,fvg_bas,type_entree,prix_entree,stop,objectif,prix_sortie,lots,resultat_eur,resultat_r,motif_sortie,heure_entree,n_paliers
sweep,M15,2026-09-02 00:16:00+00:00,2026-09-02 00:55:00+00:00,haussier,,0.0,0.0,,4322.525,bas,M15,2026-09-01 19:30:00+00:00,4315.445,M15,4461.275,M1,4324.825,4322.315,marche,4330.265,4314.445,4420.4426,4314.145,0.04,-55.61,-1.019,stop,0,2
sweep,M15,2026-09-02 02:38:00+00:00,2026-09-02 02:56:00+00:00,haussier,,0.0,0.0,,4310.375,bas,M15,2026-08-14 02:00:00+00:00,4304.365,M15,4335.655,M1,4311.515,4309.875,marche,4313.065,4303.365,4326.8938,4303.065,0.06,-51.75,-1.031,stop,2,2
sweep,M15,2026-09-02 03:46:00+00:00,2026-09-02 12:06:00+00:00,haussier,,0.0,0.0,,4286.925,bas,M15,2026-09-02 02:00:00+00:00,4282.035,M15,4335.655,M1,4288.765,4287.905,marche,4292.365,4281.035,4320.6414,4335.355,0.06,183.61,3.132,objectif,3,2
sweep,M15,2026-09-02 12:17:00+00:00,2026-09-02 12:21:00+00:00,baissier,,0.0,0.0,,4335.655,haut,M15,2026-09-01 23:30:00+00:00,4336.165,M15,4301.395,M1,4331.985,4331.615,marche,4330.455,4337.165,4311.1306,4337.465,0.09,-54.41,-1.045,stop,12,2
order_block,M30,2026-09-03 00:08:00+00:00,2026-09-03 00:34:00+00:00,baissier,M30,4392.785,4386.845,2026-09-02 22:00:00+00:00,,,,,,,,M5,4389.745,4389.075,marche,4386.355,4393.785,4383.875,4384.175,0.08,15.04,0.293,objectif,0,0
order_block,M15,2026-09-03 00:36:00+00:00,2026-09-03 04:10:00+00:00,haussier,M15,4383.875,4381.515,2026-09-02 23:15:00+00:00,,,,,,,,M5,4383.485,4382.955,marche,4385.385,4379.745,4432.945,4432.645,0.11,448.34,8.379,objectif,0,0
order_block,M30,2026-09-03 05:16:00+00:00,2026-09-03 11:58:00+00:00,baissier,M30,4443.125,4432.945,2026-09-01 03:30:00+00:00,,,,,,,,M5,4429.335,4428.465,marche,4426.915,4444.125,4382.145,4444.425,0.04,-60.4,-1.017,stop,5,0
sweep,M15,2026-09-04 00:38:00+00:00,2026-09-04 00:47:00+00:00,baissier,,0.0,0.0,,4478.485,haut,M15,2026-09-03 22:15:00+00:00,4482.925,M15,4471.095,M1,4478.235,4478.045,marche,4474.955,4483.925,4474.4074,4484.225,0.07,-55.93,-1.033,stop,0,2
sweep,M15,2026-09-04 01:37:00+00:00,2026-09-04 01:39:00+00:00,haussier,,0.0,0.0,,4482.985,bas,M15,2026-09-03 17:00:00+00:00,4470.175,M15,4478.485,M5,4473.425,4472.915,marche,4475.585,4469.175,4476.1582,4475.285,0.1,-0.12,-0.002,break_even,1,2
sweep,M15,2026-09-04 01:55:00+00:00,2026-09-04 02:03:00+00:00,haussier,,0.0,0.0,,4471.095,bas,M15,2026-09-03 22:45:00+00:00,4467.525,M15,4478.485,M1,4473.085,4472.035,marche,4474.295,4466.525,4475.4162,4479.915,0.08,22.21,0.414,objectif,1,2
order_block,M15,2026-09-04 02:06:00+00:00,2026-09-04 07:47:00+00:00,baissier,M15,4486.935,4480.215,2026-09-04 00:45:00+00:00,,,,,,,,M5,4481.065,4479.305,marche,4477.375,4488.015,4432.375,4488.315,0.06,-56.58,-1.028,stop,2,0
sweep,H1,2026-09-04 08:05:00+00:00,2026-09-04 09:22:00+00:00,baissier,,0.0,0.0,,4487.015,haut,H1,2026-09-04 01:00:00+00:00,4490.625,M15,4459.925,M1,4484.095,4483.565,marche,4482.635,4491.625,4468.521,4464.405,0.07,96.67,1.782,objectif,8,2
order_block,M15,2026-09-04 10:33:00+00:00,2026-09-04 12:31:00+00:00,haussier,M15,4464.105,4459.925,2026-09-04 06:45:00+00:00,,,,,,,,M5,4473.605,4470.505,marche,4475.135,4458.925,4487.015,4458.625,0.04,-56.92,-1.019,stop,10,0
sweep,M30,2026-09-04 13:26:00+00:00,2026-09-07 01:01:00+00:00,haussier,,0.0,0.0,,4380.745,bas,M30,2026-09-02 23:30:00+00:00,4374.145,M15,4476.215,M1,4405.175,4404.655,marche,4407.905,4373.145,4447.6354,4407.605,0.02,33.73,0.563,break_even,13,2
order_block,M15,2026-09-07 03:00:00+00:00,2026-09-08 01:14:00+00:00,baissier,M15,4424.985,4418.125,2026-09-07 00:30:00+00:00,,,,,,,,M5,4412.515,4409.085,marche,4407.585,4430.225,4344.125,4430.525,0.03,-59.22,-1.014,stop,3,0
sweep,M30,2026-09-08 02:02:00+00:00,2026-09-08 04:01:00+00:00,baissier,,0.0,0.0,,4438.225,haut,M30,2026-09-04 19:30:00+00:00,4440.475,M15,4401.405,M1,4437.425,4437.335,marche,4436.145,4441.475,4412.3446,4441.775,0.11,-53.3,-1.056,stop,2,2
sweep,M15,2026-09-08 04:16:00+00:00,2026-09-08 05:30:00+00:00,baissier,,0.0,0.0,,4440.475,haut,M15,2026-09-08 01:45:00+00:00,4442.705,M15,4420.865,M1,4440.935,4439.865,marche,4437.975,4443.705,4426.9802,4421.165,0.11,130.18,2.4,objectif,4,2
order_block,M15,2026-09-08 06:51:00+00:00,2026-09-08 07:40:00+00:00,haussier,M15,4397.885,4394.095,2026-09-07 12:45:00+00:00,,,,,,,,M5,4408.375,4405.815,marche,4409.825,4393.095,4414.755,4392.795,0.04,-58.62,-1.018,stop,6,0
order_block,M15,2026-09-08 10:22:00+00:00,2026-09-08 12:16:00+00:00,haussier,M15,4399.215,4392.245,2026-09-08 09:15:00+00:00,,,,,,,,M5,4402.835,4402.705,marche,4404.645,4389.725,4414.755,4389.425,0.04,-52.39,-1.02,stop,10,0
order_block,M15,2026-09-08 16:52:00+00:00,2026-09-08 18:49:00+00:00,baissier,M15,4403.895,4397.095,2026-09-08 15:30:00+00:00,,,,,,,,M5,4392.855,4392.585,marche,4391.625,4404.895,4380.935,4381.235,0.05,44.71,0.783,objectif,16,0
sweep,H1,2026-09-08 19:35:00+00:00,2026-09-08 20:00:00+00:00,haussier,,0.0,0.0,,4365.305,bas,H1,2026-09-04 13:00:00+00:00,4358.075,M15,4403.655,M1,4363.495,4362.595,marche,4365.075,4357.075,4390.8926,4356.775,0.08,-57.14,-1.038,stop,19,2
sweep,M30,2026-09-09 00:36:00+00:00,2026-09-09 06:01:00+00:00,haussier,,0.0,0.0,,4345.015,bas,M30,2026-09-08 20:30:00+00:00,4340.965,M15,4403.655,M3,4345.295,4344.605,marche,4346.485,4339.965,4386.1018,4391.515,0.09,326.64,6.468,objectif,0,2
